id,name,city,state,description,latitude,longitude,image_path,rating
181,Jampore Beach,Daman,Daman and Diu,Calm beach ideal for swimming and relaxation,20.401,72.819,place_images/Jampore_Beach.jpg,4.3
182,St. Jerome Fort,Diu,Daman and Diu,16th-century Portuguese fort with sea views,20.716,70.995,place_images/St._Jerome_Fort.jpg,4.0
183,Naida Caves,Diu,Daman and Diu,Limestone caves near Nagoa Beach,20.7175,70.9958,place_images/Naida_Caves.jpg,4.4
184,Nagoa Beach,Diu,Daman and Diu,White sand beach with water sports,20.7179,71.0046,place_images/Nagoa_Beach.jpg,4.4
185,Diu Fort ,Diu,Daman and Diu,Imposing sea fort built by the Portuguese,20.7155,70.967,place_images/Diu_Fort_.jpg,4.4
186,INS Khukri Memorial,Diu,Daman and Diu,Naval memorial for ship sunk in 1971 war,20.702,70.987,place_images/INS_Khukri_Memorial.jpg,4.6
187,St. Paul’s Church,Diu,Daman and Diu,"One of Asia’s largest churches, dating to 17th century",20.7125,70.9853,place_images/St._Paul’s_Church.jpg,4.3
188,Gaoji Gully Beach,Diu,Daman and Diu,Secluded sandy beach with rock formations,20.7132,70.9988,place_images/Gaoji_Gully_Beach.jpg,4.2
189,Chakratirth Beach,Daman,Daman and Diu,Popular beach near city center,20.4175,72.8425,place_images/Chakratirth_Beach.jpg,4.4
190,Moti Daman Fort,Daman,Daman and Diu,Historic Portuguese fort in Daman city,20.42,72.844,place_images/Moti_Daman_Fort.jpg,4.3
191,St Paul’s Church,Moti Daman,Daman and Diu,17th-century Baroque church with ornate interiors,20.4205,72.8445,place_images/St_Paul’s_Church.jpg,4.3
192,Red Fort,Delhi,Delhi,Iconic 17th-century Mughal fort and UNESCO site,28.6562,77.241,place_images/Red_Fort.jpg,4.5
193,Qutub Minar,Delhi,Delhi,Tallest brick minaret in the world,28.5244,77.1855,place_images/Qutub_Minar.jpg,
194,India Gate,Delhi,Delhi,War memorial in central Delhi,28.6129,77.2295,place_images/India_Gate.jpg,4.6
195,Lotus Temple,Delhi,Delhi,Bahá’í House of Worship known for lotus shape,28.5535,77.2588,place_images/Lotus_Temple.jpg,4.5
196,Humayun’s Tomb,Delhi,Delhi,Mughal tomb and UNESCO World Heritage Site,28.5933,77.2507,place_images/Humayun’s_Tomb.jpg,4.5
197,Akshardham Temple,Delhi,Delhi,Modern Hindu mandir complex with cultural exhibits,28.6121,77.2773,place_images/Akshardham_Temple.jpg,4.6
198,Jama Masjid,Delhi,Delhi,"One of India’s largest mosques, built in the 17th century",28.6507,77.2334,place_images/Jama_Masjid.jpg,4.5
199,Rashtrapati Bhavan,Delhi,Delhi,Presidential residence with Mughal Gardens,28.6143,77.1997,place_images/Rashtrapati_Bhavan.jpg,4.7
200,Chandni Chowk,Delhi,Delhi,Historic market famous for street food and old bazaars,28.6562,77.2303,place_images/Chandni_Chowk.jpg,3.8
201,Hauz Khas Complex,Delhi,Delhi,"Medieval reservoir, mosque, and urban village area",28.5495,77.1994,place_images/Hauz_Khas_Complex.jpg,4.4
202,Swaminarayan Akshardham,Delhi,Delhi,Cultural complex dedicated to Swaminarayan,28.6085,77.2775,place_images/Swaminarayan_Akshardham.jpg,4.6
203,Rani Ki Vav ,Delhi,Delhi,Replica stepwell showcasing sandstone craftsmanship,28.612,77.2275,place_images/Rani_Ki_Vav_.jpg,4.7
204,National Museum,Delhi,Delhi,Comprehensive museum of Indian history and art,28.612254,77.227232,place_images/National_Museum.jpg,4.6
205,Jantar Mantar,Delhi,Delhi,Historic astronomical observatory,28.632645,77.219506,place_images/Jantar_Mantar.jpg,4.2
206,Mehrauli Archaeological Park,Delhi,Delhi,Ruins of ancient structures near Qutub complex,28.5276,77.1869,place_images/Mehrauli_Archaeological_Park.jpg,4.3
207,Agrasen ki Baoli,Delhi,Delhi,Ancient stepwell in city centre,28.6326,77.2206,place_images/Agrasen_ki_Baoli.jpg,4.2
208,Purana Qila,Delhi,Delhi,Old Fort built during Sher Shah Suri’s era,28.6167,77.233333,place_images/Purana_Qila.jpg,4.2
209,National Rail Museum,Delhi,Delhi,Gallery of vintage trains and rail artifacts,28.646575,77.21998,place_images/National_Rail_Museum.jpg,4.4
210,Lodhi Garden,Delhi,Delhi,Park with tombs from 15th‑17th century,28.5933,77.2417,place_images/Lodhi_Garden.jpg,4.5
211,Dilli Haat,Delhi,Delhi,Craft bazaar and food plaza with regional stores,28.5512,77.2087,place_images/Dilli_Haat.jpg,4.3
212,Shri Aapti Shiv Mandir,Silvassa,Dadra and Nagar Haveli,Ancient Shiva temple in the state capital,20.2699,73.0021,place_images/Shri_Aapti_Shiv_Mandir.jpg,4.5
213,Vanganga Lake Garden,Silvassa,Dadra and Nagar Haveli,Scenic garden surrounding a lake,20.2718,73.0121,place_images/Vanganga_Lake_Garden.jpg,4.2
214,Hirwa Van Garden,Silvassa,Dadra and Nagar Haveli,Green park with children’s play area,20.2785,73.0089,place_images/Hirwa_Van_Garden.jpg,4.1
215,Lion Safari Wildlife Park,Silvassa,Dadra and Nagar Haveli,Safari park featuring lions and deer,20.2571,73.0371,place_images/Lion_Safari_Wildlife_Park.jpg,3.6
216,Dudhni Lake,Dudhani,Dadra and Nagar Haveli,Riverfront lake popular for water sports,20.2165,72.995,place_images/Dudhni_Lake.jpg,4.4
217,Satmalia Deer Park,Silvassa,Dadra and Nagar Haveli,Deer park near lion safari,20.26,73.0162,place_images/Satmalia_Deer_Park.jpg,4.1
218,Smarak Theatre & Museum,Silvassa,Dadra and Nagar Haveli,Museum showcasing tribal artifacts and anti-colonial history,20.2701,73.0067,place_images/Smarak_Theatre_&_Museum.jpg,4.0
219,Someshwar Waterfall,Silvassa,Dadra and Nagar Haveli,Rain-fed waterfall with forest backdrop,20.2745,73.0102,place_images/Someshwar_Waterfall.jpg,4.2
220,Timber Trail Camping Site,Silvassa,Dadra and Nagar Haveli,Adventure camping and zipline nearby,20.2667,73.02,place_images/Timber_Trail_Camping_Site.jpg,3.8
221,St. Joseph’s Church,Silvassa,Dadra and Nagar Haveli,Historic church with Gothic architecture,20.2705,73.0078,place_images/St._Joseph’s_Church.jpg,4.7
222,Calangute Beach,Calangute,Goa,One of the busiest and most popular beaches in Goa,15.5453,73.7549,place_images/Calangute_Beach.jpg,4.4
223,Baga Beach,Baga,Goa,Lively beach known for nightlife and water sports,15.547,73.75,place_images/Baga_Beach.jpg,4.4
224,Anjuna Beach,Anjuna,Goa,Famous for flea market and trance parties,15.6092,73.7442,place_images/Anjuna_Beach.jpg,4.4
225,Fort Aguada,Sinquerim,Goa,17th-century Portuguese fort overlooking the sea,15.5006,73.775,place_images/Fort_Aguada.jpg,4.2
226,Basilica of Bom Jesus,Old Goa,Goa,UNESCO site housing St. Francis Xavier’s remains,15.5009,73.9134,place_images/Basilica_of_Bom_Jesus.jpg,4.5
227,Se Cathedral,Old Goa,Goa,"One of Asia’s largest churches, dedicated to St. Catherine",15.5033,73.9127,place_images/Se_Cathedral.jpg,4.5
228,Dudhsagar Falls,Mollem,Goa,Spectacular four-tiered waterfall on the Mandovi River,15.3338,74.313,place_images/Dudhsagar_Falls.jpg,4.6
229,Chapora Fort,Chapora,Goa,Scenic hilltop fort with panoramic beach views,15.6395,73.7037,place_images/Chapora_Fort.jpg,4.2
230,Palolem Beach,Canacona,Goa,Picturesque crescent-shaped beach in South Goa,15.011,73.9857,place_images/Palolem_Beach.jpg,4.6
231,Colva Beach,Colva,Goa,Long sandy beach popular with families,15.3705,73.9268,place_images/Colva_Beach.jpg,4.3
232,Arvalem Caves & Waterfall,Bicholim,Goa,Historic Buddhist caves and scenic waterfall,15.5853,74.0156,place_images/Arvalem_Caves_&_Waterfall.jpg,4.1
233,Church of Our Lady of the Immaculate Conception,Panaji,Goa,Baroque-style church in the state capital,15.4923,73.8266,place_images/Church_of_Our_Lady_of_the_Immaculate_Conception.jpg,4.4
234,Baga Fort,Baga,Goa,Ruins of a small fort overlooking Baga beach,15.546,73.749,place_images/Baga_Fort.jpg,4.5
235,Sinquerim Beach,Sinquerim,Goa,Blue-flag beach near Aguada fort,15.502,73.777,place_images/Sinquerim_Beach.jpg,4.5
236,Miramar Beach,Panaji,Goa,Sandy beachfront near the state capital,15.4775,73.83,place_images/Miramar_Beach.jpg,4.2
237,Candolim Beach,Candolim,Goa,Family-friendly beach with water sports,15.5327,73.7792,place_images/Candolim_Beach.jpg,4.5
238,Vasco da Gama Port,Vasco da Gama,Goa,Major port city and gateway to hinterland,15.3993,73.8126,place_images/Vasco_da_Gama_Port.jpg,3.7
239,Spice Plantations,Ponda,Goa,Tour of local spice gardens,15.4147,73.9416,place_images/Spice_Plantations.jpg,4.1
240,Tambdi Surla Temple,Tambdi Surla,Goa,11th-century Shiva temple in village setting,15.4801,74.0259,place_images/Tambdi_Surla_Temple.jpg,4.8
241,Morjim Beach,Morjim,Goa,Turtle nesting beach with quieter vibe,15.6003,73.7472,place_images/Morjim_Beach.jpg,
242,Rohtang Pass,Manali,Himachal Pradesh,High mountain pass with snow and scenic views,32.379,77.154,place_images/Rohtang_Pass.jpg,4.7
243,Solang Valley,Manali,Himachal Pradesh,Adventure sports hub near Manali,32.251,77.167,place_images/Solang_Valley.jpg,4.5
244,Hidimba Devi Temple,Manali,Himachal Pradesh,Ancient wooden temple set in pine forest,32.239,77.189,place_images/Hidimba_Devi_Temple.jpg,4.6
245,Mall Road,Shimla,Himachal Pradesh,Popular promenade in colonial Shimla,31.1048,77.1734,place_images/Mall_Road.jpg,4.6
246,Jakhoo Temple,Shimla,Himachal Pradesh,Temple dedicated to Hanuman with city views,31.1047,77.1546,place_images/Jakhoo_Temple.jpg,4.8
247,Kullu Valley,Kullu,Himachal Pradesh,Lush valley along Beas River,31.957,77.1144,place_images/Kullu_Valley.jpg,4.3
248,Great Himalayan National Park,Kullu,Himachal Pradesh,UNESCO forest biodiversity area,31.826,77.234,place_images/Great_Himalayan_National_Park.jpg,4.5
249,Dharamshala,Dharamshala,Himachal Pradesh,Base of Dalai Lama with Tibetan culture,32.2195,76.3234,place_images/Dharamshala.jpg,4.4
250,McLeod Ganj,Dharamshala,Himachal Pradesh,Hill town known as “Little Lhasa”,32.2396,76.3156,place_images/McLeod_Ganj.jpg,4.2
251,Chamba,Chamba,Himachal Pradesh,Historic hill town with temples,32.53,76.261,place_images/Chamba.jpg,4.6
252,Spiti Valley,Spiti,Himachal Pradesh,Cold desert valley with monasteries,32.224,78.004,place_images/Spiti_Valley.jpg,
253,Kinnaur,Kinnaur,Himachal Pradesh,High-altitude district with tribal culture,31.06,78.394,place_images/Kinnaur.jpg,
254,Bir Billing,Bir,Himachal Pradesh,Paragliding capital of India,32.044,76.329,place_images/Bir_Billing.jpg,4.2
255,Chandigarh ,Chandigarh,Himachal Pradesh,Artistic garden of sculptures,30.6797,76.79,place_images/Chandigarh_.jpg,3.5
256,Tirthan Valley,Tirthan,Himachal Pradesh,Scenic trout river valley,31.688,77.238,place_images/Tirthan_Valley.jpg,4.7
257,Karna Lake,Kurukshetra,Haryana,Historic lake mentioned in Mahabharata,29.97,76.85,place_images/Karna_Lake.jpg,4.2
258,Sheikh Chilli Tomb,Kurukshetra,Haryana,Mughal-era architectural mausoleum,29.967,76.83,place_images/Sheikh_Chilli_Tomb.jpg,4.3
259,Panipat Battlefield,Panipat,Haryana,Site of historic battles including 1526 & 1761,29.39,76.97,place_images/Panipat_Battlefield.jpg,4.2
260,Morni Hills,Morni,Haryana,Hilly forest retreat with waterfalls,30.933,76.735,place_images/Morni_Hills.jpg,4.2
261,Fatehabad Fort,Fatehabad,Haryana,Ruins of medieval fort by Firoz Shah Tughlaq,29.52,75.45,place_images/Fatehabad_Fort.jpg,3.9
262,Bhondsi Lake,Gurgaon,Haryana,Urban lake and bird watching spot,28.41,77.08,place_images/Bhondsi_Lake.jpg,4.6
263,Sheetal Kund,Narnaul,Haryana,Spring-fed tank with historic shrine,28.062,76.111,place_images/Sheetal_Kund.jpg,4.7
264,Sector 10 Market,Gurgaon,Haryana,Popular urban shopping & cafe area,28.4595,77.0266,place_images/Sector_10_Market.jpg,5.0
265,Sultanpur National Park,Gurgaon,Haryana,Important bird sanctuary with migratory birds,28.4727,77.0403,place_images/Sultanpur_National_Park.jpg,4.2
266,Bara Bair Mosque,Jagadhri,Haryana,Historic mosque with Indo-Islamic architecture,30.136,77.28,place_images/Bara_Bair_Mosque.jpg,5.0
267,Surajkund,Faridabad,Haryana,Annual crafts fair and reservoir,28.4813,77.3026,place_images/Surajkund.jpg,4.1
268,Pinjore Gardens,Pinjore,Haryana,Mughal gardens by Raja Ravi Varma,30.909,76.865,place_images/Pinjore_Gardens.jpg,4.3
269,Dassam Falls,Ranchi,Jharkhand,Tiered waterfall on Kanchi River,23.307,85.296,place_images/Dassam_Falls.jpg,4.5
270,Hundru Falls,Ranchi,Jharkhand,Classic waterfall and rock pool,23.4,85.346,place_images/Hundru_Falls.jpg,4.4
271,Jonha Falls,Ranchi,Jharkhand,Scenic waterfall with plunge pool,23.315,85.302,place_images/Jonha_Falls.jpg,4.4
272,Jagannath Temple,Ranchi,Jharkhand,Temple with annual Rath Yatra,23.354,85.338,place_images/Jagannath_Temple.jpg,4.7
273,Betla National Park,Latehar,Jharkhand,Tiger reserve in Palamau division,23.152,84.215,place_images/Betla_National_Park.jpg,4.1
274,Baidyanath Temple,Deoghar,Jharkhand,One of India’s 12 Jyotirlingas,24.485,86.69,place_images/Baidyanath_Temple.jpg,4.6
275,Tapin Dam,Deoghar,Jharkhand,Scenic reservoir with boating,24.483,86.686,place_images/Tapin_Dam.jpg,4.5
276,Rajrappa Temple,Ramgarh,Jharkhand,Temple at confluence of Damodar & Bhairavi rivers,23.613,85.54,place_images/Rajrappa_Temple.jpg,4.6
277,Hazaribagh,Hazaribagh,Jharkhand,Town & plateau with national park,23.993,85.361,place_images/Hazaribagh.jpg,3.9
278,Parasnath Hill,Giridih,Jharkhand,Highest Jain pilgrimage site,23.784,86.411,place_images/Parasnath_Hill.jpg,4.7
279,Rock Garden,Ranchi,Jharkhand,Lakeside rock-themed park,23.356,85.324,place_images/Rock_Garden.jpg,3.8
280,Sun Temple,Ranchi,Jharkhand,Modern temple atop hill,23.345,85.335,place_images/Sun_Temple.jpg,4.7
281,Dal Lake,Srinagar,Jammu and Kashmir,Iconic lake famed for houseboats and shikaras,34.0837,74.7973,place_images/Dal_Lake.jpg,4.6
282,Gulmarg,Gulmarg,Jammu and Kashmir,Alpine meadow and ski resort,34.0498,74.3814,place_images/Gulmarg.jpg,4.6
283,Pahalgam,Pahalgam,Jammu and Kashmir,"Riverside hill town, gateway to Amarnath",34.0108,75.3179,place_images/Pahalgam.jpg,4.2
284,Sonamarg,Sonamarg,Jammu and Kashmir,Scenic hill station by Sindh River,34.267,75.336,place_images/Sonamarg.jpg,4.4
285,Shankaracharya Temple,Srinagar,Jammu and Kashmir,Ancient temple overlooking Srinagar,34.1043,74.8147,place_images/Shankaracharya_Temple.jpg,4.8
286,Mughal Gardens,Srinagar,Jammu and Kashmir,Chashme Shahi & Nishat Gardens by Dal Lake,34.085,74.81,place_images/Mughal_Gardens.jpg,4.4
287,Betaab Valley,Pahalgam,Jammu and Kashmir,Scenic valley named after Bollywood film,33.957,75.236,place_images/Betaab_Valley.jpg,4.6
288,Kupwara,Kupwara,Jammu and Kashmir,Less-explored district with scenic vistas,34.5286,74.2547,place_images/Kupwara.jpg,4.1
289,Dachigam National Park,Srinagar,Jammu and Kashmir,Wildlife reserve for hangul deer,34.083,74.61,place_images/Dachigam_National_Park.jpg,4.4
290,Verinag Spring,Anantnag,Jammu and Kashmir,Natural spring with Mughal garden,33.6565,75.1889,place_images/Verinag_Spring.jpg,
291,Achabal Gardens,Anantnag,Jammu and Kashmir,Mughal terraced garden by spring,33.7166,75.1341,place_images/Achabal_Gardens.jpg,4.3
292,Zanskar Valley,Leh-Ladakh,Jammu and Kashmir,Remote Himalayan valley with trekking,33.64,76.07,place_images/Zanskar_Valley.jpg,4.5
293,Patnitop,Udhampur,Jammu and Kashmir,Hill resort on Batote–Kishtwar road,33.0169,75.1782,place_images/Patnitop.jpg,3.7
294,Vaishno Devi Temple,Katra,Jammu and Kashmir,Major pilgrimage cave shrine,33.1212,75.24,place_images/Vaishno_Devi_Temple.jpg,4.7
295,Raghunath Temple,Srinagar,Jammu and Kashmir,Large temple complex in Srinagar,34.0798,74.8265,place_images/Raghunath_Temple.jpg,4.7
296,Masroor Rock Cut Temple,Masroor,Himachal Pradesh,Underground monolithic temple complex (8th‑10th century),31.77,76.696,place_images/Masroor_Rock_Cut_Temple.jpg,4.6
297,Khajjiar,Khajjiar,Himachal Pradesh,“Mini Switzerland” of India with lush meadows & lake,31.91,76.164,place_images/Khajjiar.jpg,4.7
298,Naina Devi Temple,Bilaspur,Himachal Pradesh,Hilltop temple with panoramic views,31.4166,76.5129,place_images/Naina_Devi_Temple.jpg,4.8
299,Barot Valley,Barot,Himachal Pradesh,"Scenic valley along Uhl River, ideal for trout fishing",31.46,77.075,place_images/Barot_Valley.jpg,
300,Chamera Lake,Chamera,Himachal Pradesh,Man-made reservoir with boating activities,32.415,76.124,place_images/Chamera_Lake.jpg,4.4
301,Great Himalayan Trails Base,Shimla,Himachal Pradesh,Starting point for long trekking routes,31.1048,77.1734,place_images/Great_Himalayan_Trails_Base.jpg,5.0
302,Mcleodganj Cricket Stadium,Dharamshala,Himachal Pradesh,Iconic stadium with Himalayan backdrop,32.2435,76.3319,place_images/Mcleodganj_Cricket_Stadium.jpg,4.5
303,Palampur Tea Gardens,Palampur,Himachal Pradesh,Rolling tea plantations and quaint town,32.121,76.5368,place_images/Palampur_Tea_Gardens.jpg,4.6
304,Chitkul Village,Chitkul,Himachal Pradesh,Last inhabited village on old Indo‑Tibetan highway,31.238,78.348,place_images/Chitkul_Village.jpg,4.4
305,Tashijong Monastery,Barot,Himachal Pradesh,Tibetan Buddhist monastery in serene setting,31.458,77.075,place_images/Tashijong_Monastery.jpg,4.6
306,Surajkund Mela Grounds,Faridabad,Haryana,Venue of annual cultural fair and crafts bazaar,28.48,77.307,place_images/Surajkund_Mela_Grounds.jpg,4.4
307,Bhuteshwar Temple,Hodal,Haryana,Ancient Shiva temple with religious significance,27.7166,77.2025,place_images/Bhuteshwar_Temple.jpg,4.5
308,Kalesar National Park,Yamunanagar,Haryana,Shivalik forests with wildlife and greenery,30.106,77.207,place_images/Kalesar_National_Park.jpg,4.3
309,Pinjore Baoli,Pinjore,Haryana,Historical stepwell in Pinjore Gardens,30.91,76.867,place_images/Pinjore_Baoli.jpg,4.4
310,Dhosi Hill,Narnaul,Haryana,Mythological hill with ancient temple and dhuni,28.041,76.19,place_images/Dhosi_Hill.jpg,4.5
311,Badkhal Lake,Faridabad,Haryana,"Once scenic seasonal lake, now restored eco-site",28.3775,77.3242,place_images/Badkhal_Lake.jpg,3.7
312,Chandimandir Sahib,Chandigarh,Haryana,Gurbani town & temple of Sikh history,30.79,76.76,place_images/Chandimandir_Sahib.jpg,4.5
313,Asigarh Fort,Hansi,Haryana,Ruins of early medieval fort of King Asoka,29.096,75.957,place_images/Asigarh_Fort.jpg,4.4
314,Pehowa Saraswati Tirtha,Pehowa,Haryana,Sacred pilgrimage site on Ghaggar River,29.87,76.533,place_images/Pehowa_Saraswati_Tirtha.jpg,4.1
315,Surajkund Lake,Faridabad,Haryana,Reservoir adjacent to Surajkund and mela grounds,28.478,77.3075,place_images/Surajkund_Lake.jpg,4.2
316,Hundru Falls Viewpoint,Ranchi,Jharkhand,Scenic viewing point above the waterfall,23.405,85.345,place_images/Hundru_Falls_Viewpoint.jpg,4.2
317,Pahari Mandir,Ranchi,Jharkhand,Temple atop Ranchi hill with city views,23.339,85.326,place_images/Pahari_Mandir.jpg,4.6
318,Rajrappa Falls,Ramgarh,Jharkhand,Waterfall and confluence near Rajrappa Temple,23.6135,85.5378,place_images/Rajrappa_Falls.jpg,4.3
319,Betla Palace,Latehar,Jharkhand,Heritage palace near Betla National Park,23.1508,84.2098,place_images/Betla_Palace.jpg,4.1
320,Gonda Hill,Ranchi,Jharkhand,Religious hill with temple dedicated to Shiva,23.3455,85.3422,place_images/Gonda_Hill.jpg,4.3
321,Parasnath Waterfall,Giridih,Jharkhand,Seasonal waterfall near Parasnath Hill,23.7845,86.405,place_images/Parasnath_Waterfall.jpg,4.2
322,Hajaribagh Hilltop Park,Hazaribagh,Jharkhand,Panoramic hill park overlooking town,24.0,85.368,place_images/Hajaribagh_Hilltop_Park.jpg,4.0
323,Netarhat Viewpoint,Latehar,Jharkhand,Sunrise and sunset vantage point in forests,23.489,84.594,place_images/Netarhat_Viewpoint.jpg,4.5
324,Anthropological Museum,Ranchi,Jharkhand,Tribal culture exhibit museum,23.3415,85.3372,place_images/Anthropological_Museum.jpg,4.2
325,Deori Mandir,Ramgarh,Jharkhand,Ancient temple dedicated to Lord Shiva,23.63,85.532,place_images/Deori_Mandir.jpg,4.7
326,Gurez Valley,Bandipora,Jammu and Kashmir,Remote valley known for tulip fields,34.529,74.691,place_images/Gurez_Valley.jpg,4.1
327,Shankaracharya Hill,Srinagar,Jammu and Kashmir,Hill with ancient temple and city views,34.102,74.824,place_images/Shankaracharya_Hill.jpg,
328,Char Chinar,Srinagar,Jammu and Kashmir,Group of iconic chinar trees on Dal Lake,34.084,74.7975,place_images/Char_Chinar.jpg,4.5
329,Kishtwar National Park,Kishtwar,Jammu and Kashmir,Protected area with diverse Himalayan fauna,33.338,75.785,place_images/Kishtwar_National_Park.jpg,4.2
330,Doodhpathri,Budgam,Jammu and Kashmir,Valley known for meadows and streams,33.139,75.197,place_images/Doodhpathri.jpg,4.5
331,Gurez River Valley,Bandipora,Jammu and Kashmir,River valley with scenic mountain landscapes,34.546,74.667,place_images/Gurez_River_Valley.jpg,5.0
332,Peer Ki Gali,Shopian,Jammu and Kashmir,Mountain pass on Mughal Road,33.687,75.147,place_images/Peer_Ki_Gali.jpg,4.5
333,Tarsar Marsar Lakes,Anantnag,Jammu and Kashmir,Alpine twin lakes in Lidder Valley,33.7,75.117,place_images/Tarsar_Marsar_Lakes.jpg,4.6
334,Sinthan Top,Kishtwar,Jammu and Kashmir,High-altitude trekking pass,33.212,75.362,place_images/Sinthan_Top.jpg,4.6
335,Wular Lake,Bandipora,Jammu and Kashmir,One of Asia’s largest freshwater lakes,34.249,74.549,place_images/Wular_Lake.jpg,4.5
336,Mysore Palace,Mysore,Karnataka,Lavish palace of the Wodeyar dynasty,12.30513,76.655326,place_images/Mysore_Palace.jpg,4.6
337,Chamundi Hill,Mysore,Karnataka,Hill shrine overlooking Mysore city,12.3346,76.7138,place_images/Chamundi_Hill.jpg,4.2
338,Brindavan Gardens,Mysore,Karnataka,Terraced gardens with musical fountain on Krishnaraja Sagar dam,12.4126,76.6142,place_images/Brindavan_Gardens.jpg,4.3
339,Kodagu,Madikeri,Karnataka,Coffee hills and waterfalls in Western Ghats,12.4263,75.7382,place_images/Kodagu.jpg,
340,Abbey Falls,Madikeri,Karnataka,Scenic waterfall in Coorg,12.4238,75.7466,place_images/Abbey_Falls.jpg,4.2
341,Nagarhole National Park,Nagarhole,Karnataka,Tiger reserve with rich wildlife,12.264,76.355,place_images/Nagarhole_National_Park.jpg,4.4
342,Hampi,Hampi,Karnataka,UNESCO site with Vijayanagara ruins,15.335,76.46,place_images/Hampi.jpg,4.5
343,Virupaksha Temple,Hampi,Karnataka,Active temple from Vijayanagara era,15.3359,76.462,place_images/Virupaksha_Temple.jpg,4.7
344,Badami Caves,Badami,Karnataka,Rock-cut cave temples dating 6th century,15.9164,75.6762,place_images/Badami_Caves.jpg,4.6
345,Pattadakal,Pattadakal,Karnataka,UNESCO group of Chalukyan temples,15.8662,75.9022,place_images/Pattadakal.jpg,3.8
346,Aihole,Aihole,Karnataka,Ancient temple site of Chalukyan era,16.1749,75.9611,place_images/Aihole.jpg,4.6
347,Vijaypura,Bijapur,Karnataka,Historic city with Gol Gumbaz mausoleum,16.8301,75.7152,place_images/Vijaypura.jpg,4.0
348,Gol Gumbaz,Bijapur,Karnataka,Monumental mausoleum with whispering gallery,16.83405,75.7446,place_images/Gol_Gumbaz.jpg,4.5
349,Gokarna Beach,Gokarna,Karnataka,Sacred beach town with temples and beaches,14.551,74.314,place_images/Gokarna_Beach.jpg,4.4
350,Om Beach,Gokarna,Karnataka,Beach shaped like the Om symbol,14.5466,74.3205,place_images/Om_Beach.jpg,4.5
351,Murudeshwar Temple,Murudeshwar,Karnataka,Temple with world’s second tallest Shiva statue,14.094,74.5228,place_images/Murudeshwar_Temple.jpg,3.8
352,Jog Falls,Sagara,Karnataka,India’s highest plunge waterfall,14.2366,74.5015,place_images/Jog_Falls.jpg,4.6
353,Coastal Udupi,Udupi,Karnataka,Famous Krishna Temple and beaches,13.34088,74.742142,place_images/Coastal_Udupi.jpg,4.0
354,Sri Mukhi Hanuman Temple,Udupi,Karnataka,Hilltop Hanuman temple with city views,13.3406,74.7458,place_images/Sri_Mukhi_Hanuman_Temple.jpg,4.8
355,Kudremukh,Kudremukh,Karnataka,Hills and national park ideal for trekking,12.6235,75.3487,place_images/Kudremukh.jpg,4.7
356,Dandeli Wildlife Sanctuary,Dandeli,Karnataka,Dense moist deciduous forest reserve,15.3112,74.6079,place_images/Dandeli_Wildlife_Sanctuary.jpg,4.5
357,Mahabaleshwar Temple,Gokarna,Karnataka,Hill cave temple of Lord Shiva,14.5459,74.3188,place_images/Mahabaleshwar_Temple.jpg,4.7
358,St. Mary’s Island,Malpe,Karnataka,Columnar basalt rock formation islands,13.3584,74.7041,place_images/St._Mary’s_Island.jpg,4.5
359,Kabini,Nagarhole,Karnataka,Riverfront eco-tourism & wildlife area,11.9886,76.5032,place_images/Kabini.jpg,4.4
360,Shivanasamudra Falls,Shivanasamudra,Karnataka,Twin waterfalls on Kaveri River,12.305,77.258,place_images/Shivanasamudra_Falls.jpg,4.4
361,Bull Temple,Bengaluru,Karnataka,Historic temple dedicated to Nandi bull,12.9508,77.5642,place_images/Bull_Temple.jpg,4.7
362,Lalbagh Botanical Garden,Bengaluru,Karnataka,Iconic botanical garden in city center,12.9507,77.5848,place_images/Lalbagh_Botanical_Garden.jpg,4.4
363,Bangalore Palace,Bengaluru,Karnataka,Majestic Tudor-style palace,12.99858,77.59299,place_images/Bangalore_Palace.jpg,4.2
364,Cubbon Park,Bengaluru,Karnataka,Green lung in the heart of the city,12.9754,77.5927,place_images/Cubbon_Park.jpg,4.4
365,Bannerghatta National Park,Bengaluru,Karnataka,Wildlife safari and zoo near the city,12.8006,77.577,place_images/Bannerghatta_National_Park.jpg,4.4
366,Nandi Hills,Chikkaballapura,Karnataka,Popular weekend hill retreat with sunrise views,13.37,77.6833,place_images/Nandi_Hills.jpg,3.7
367,Hesaraghatta Lake,Bengaluru,Karnataka,Man-made lake and bird sanctuary,13.097,77.4097,place_images/Hesaraghatta_Lake.jpg,4.3
368,Ranganathittu Bird Sanctuary,Mandya,Karnataka,Small river islet bird sanctuary,12.4143,76.686,place_images/Ranganathittu_Bird_Sanctuary.jpg,4.4
369,Chikmagalur,Chikmagalur,Karnataka,Coffee hills and Mullayanagiri peak,13.3181,75.7754,place_images/Chikmagalur.jpg,4.2
370,Kurubarahalli Lake,Bengaluru,Karnataka,Urban lake for birding and walking,12.9285,77.4803,place_images/Kurubarahalli_Lake.jpg,5.0
371,ISKCON Temple,Bengaluru,Karnataka,Modern Krishna temple and cultural complex,13.0216,77.5695,place_images/ISKCON_Temple.jpg,4.7
372,National Gallery of Modern Art,Bengaluru,Karnataka,Contemporary art museum in Mayura Park,12.9795,77.5714,place_images/National_Gallery_of_Modern_Art.jpg,4.4
